2011 output area,All categories: General health,Very good health,Good health,Fair health,Bad health,Very bad health
E00057073,289,114,125,34,9,7
E00057074,217,81,68,47,17,4
E00057075,319,170,109,29,10,1
E00057076,289,143,93,29,19,5
E00057077,270,126,94,38,9,3
E00057078,210,100,73,22,9,6
E00057079,232,110,72,32,14,4
E00057080,245,100,97,37,9,2
E00057081,297,158,92,33,14,0
E00057082,234,96,92,29,11,6
E00057083,246,91,75,41,31,8
E00057084,214,103,77,21,11,2
E00057085,252,106,90,35,14,7
E00057086,240,115,75,34,14,2
E00057087,286,106,119,51,7,3
E00057088,312,146,99,42,17,8
E00057089,245,85,84,40,29,7
E00057090,259,125,89,31,11,3
E00057091,318,148,102,53,12,3
E00057092,366,183,130,36,11,6
E00057093,251,73,78,64,29,7
E00057094,276,121,106,39,8,2
E00057095,201,71,66,47,15,2
E00057096,288,127,98,43,15,5
E00057097,249,101,85,43,15,5
E00057098,231,75,95,50,9,2
E00057099,246,90,101,39,14,2
E00057100,234,110,79,30,13,2
E00057101,268,128,107,24,5,4
E00057102,225,75,79,49,18,4
E00057103,213,112,76,18,6,1
E00057104,260,89,86,48,32,5
E00057105,219,104,89,23,2,1
E00057106,208,78,69,41,20,0
E00057107,265,115,80,47,17,6
E00057108,236,79,99,44,12,2
E00057109,374,190,128,37,12,7
E00057110,311,121,108,59,17,6
E00057111,321,159,86,59,12,5
E00057112,246,103,58,60,14,11
E00057113,226,137,68,16,3,2
E00057114,278,132,95,33,11,7
E00057115,244,112,83,31,14,4
E00057116,313,147,109,43,11,3
E00057117,213,76,103,22,10,2
E00057118,284,144,95,35,9,1
E00057119,230,98,78,32,18,4
E00057120,219,65,67,52,23,12
E00057121,214,91,90,26,5,2
E00057122,256,99,90,46,15,6
E00057123,270,117,105,39,5,4
E00057124,343,141,135,40,23,4
E00057125,335,164,105,46,15,5
E00057126,336,165,105,43,17,6
E00057127,297,114,117,40,19,7
E00057128,266,107,112,38,6,3
E00057129,219,69,77,39,25,9
E00057130,320,151,93,47,18,11
E00057131,313,144,104,50,12,3
E00057132,300,125,103,51,15,6
E00057133,270,130,82,38,15,5
E00057134,397,203,122,50,18,4
E00057135,344,159,104,45,26,10
E00057136,327,160,123,33,9,2
E00057137,317,164,100,36,14,3
E00057138,326,109,83,72,55,7
E00057139,320,148,126,36,9,1
E00057140,324,152,99,44,22,7
E00057141,316,151,103,40,19,3
E00057142,192,88,54,36,14,0
E00057144,248,123,77,31,14,3
E00057145,373,149,135,62,21,6
E00057146,208,50,57,53,38,10
E00057147,247,99,88,39,11,10
E00057148,269,107,116,34,11,1
E00057149,283,135,101,24,22,1
E00057150,230,97,78,34,19,2
E00057151,401,198,126,45,23,9
E00057152,189,89,62,34,2,2
E00057153,310,112,111,56,22,9
E00057154,294,127,89,54,18,6
E00057155,290,155,77,36,21,1
E00057156,249,95,85,56,11,2
E00057157,285,129,103,41,10,2
E00057158,282,100,87,60,28,7
E00057159,289,149,91,31,14,4
E00057160,313,137,102,47,22,5
E00057161,264,114,83,44,18,5
E00057162,292,144,84,38,22,4
E00057163,331,166,95,45,17,8
E00057164,257,73,78,55,42,9
E00057165,268,147,74,26,13,8
E00057166,311,131,115,47,14,4
E00057167,262,86,92,44,36,4
E00057169,293,90,130,46,24,3
E00057170,396,163,107,86,30,10
E00057171,354,154,109,51,29,11
E00057172,382,156,129,70,19,8
E00057173,263,78,93,58,26,8
E00057175,293,84,102,58,36,13
E00057176,223,98,78,31,13,3
E00057177,362,151,126,58,20,7
